start_date,end_date,original_dates,firm,party,preference_type,election_year,mid_date,survey_type,sample_size,intended_vote
2007-11-20,2007-11-22,20–22 Nov 2007,Newspoll,ALP,First preference,2010,2007-11-21,NA,NA,44
2007-11-20,2007-11-22,20–22 Nov 2007,Newspoll,ALP,Two-party-preferred,2010,2007-11-21,NA,NA,52
2007-11-20,2007-11-22,20–22 Nov 2007,Newspoll,Grn,First preference,2010,2007-11-21,NA,NA,7
2007-11-20,2007-11-22,20–22 Nov 2007,Newspoll,Lib/Nat,First preference,2010,2007-11-21,NA,NA,43
2007-11-20,2007-11-22,20–22 Nov 2007,Newspoll,Lib/Nat,Two-party-preferred,2010,2007-11-21,NA,NA,48
2007-11-20,2007-11-22,20–22 Nov 2007,Newspoll,Oth,First preference,2010,2007-11-21,NA,NA,6
2008-01-18,2008-01-20,18–20 Jan 2008,Newspoll,ALP,First preference,2010,2008-01-19,NA,NA,46
2008-01-18,2008-01-20,18–20 Jan 2008,Newspoll,ALP,Two-party-preferred,2010,2008-01-19,NA,NA,58
2008-01-18,2008-01-20,18–20 Jan 2008,Newspoll,Grn,First preference,2010,2008-01-19,NA,NA,12
2008-01-18,2008-01-20,18–20 Jan 2008,Newspoll,Lib/Nat,First preference,2010,2008-01-19,NA,NA,35
2008-01-18,2008-01-20,18–20 Jan 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-01-19,NA,NA,42
2008-01-18,2008-01-20,18–20 Jan 2008,Newspoll,Oth,First preference,2010,2008-01-19,NA,NA,7
2008-02-15,2008-02-17,15–17 Feb 2008,Newspoll,ALP,First preference,2010,2008-02-16,NA,NA,46
2008-02-15,2008-02-17,15–17 Feb 2008,Newspoll,ALP,Two-party-preferred,2010,2008-02-16,NA,NA,57
2008-02-15,2008-02-17,15–17 Feb 2008,Newspoll,Grn,First preference,2010,2008-02-16,NA,NA,10
2008-02-15,2008-02-17,15–17 Feb 2008,Newspoll,Lib/Nat,First preference,2010,2008-02-16,NA,NA,36
2008-02-15,2008-02-17,15–17 Feb 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-02-16,NA,NA,43
2008-02-15,2008-02-17,15–17 Feb 2008,Newspoll,Oth,First preference,2010,2008-02-16,NA,NA,8
2008-02-16,2008-03-02,29 Feb – 2 Mar 2008,Newspoll,ALP,First preference,2010,2008-02-23,NA,NA,51
2008-02-16,2008-03-02,29 Feb – 2 Mar 2008,Newspoll,ALP,Two-party-preferred,2010,2008-02-23,NA,NA,63
2008-02-16,2008-03-02,29 Feb – 2 Mar 2008,Newspoll,Grn,First preference,2010,2008-02-23,NA,NA,10
2008-02-16,2008-03-02,29 Feb – 2 Mar 2008,Newspoll,Lib/Nat,First preference,2010,2008-02-23,NA,NA,31
2008-02-16,2008-03-02,29 Feb – 2 Mar 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-02-23,NA,NA,37
2008-02-16,2008-03-02,29 Feb – 2 Mar 2008,Newspoll,Oth,First preference,2010,2008-02-23,NA,NA,8
2008-03-14,2008-03-16,14–16 Mar 2008,Newspoll,ALP,First preference,2010,2008-03-15,NA,NA,47
2008-03-14,2008-03-16,14–16 Mar 2008,Newspoll,ALP,Two-party-preferred,2010,2008-03-15,NA,NA,59
2008-03-14,2008-03-16,14–16 Mar 2008,Newspoll,Grn,First preference,2010,2008-03-15,NA,NA,11
2008-03-14,2008-03-16,14–16 Mar 2008,Newspoll,Lib/Nat,First preference,2010,2008-03-15,NA,NA,35
2008-03-14,2008-03-16,14–16 Mar 2008,Newspoll,Lib/Nat,Two-party-preferred,2010,2008-03-15,NA,NA,41
2008-03-14,2008-03-16,14–16 Mar 2008,Newspoll,Oth,First preference,2010,2008-03-15,NA,NA,7
